schema_name,table_name,description,irsa_dbms,irsa_pos,cntr
iras,comsight,IRAS Asteroid and Comet Survey,ORACLE,y,60
iras,iras_ao,IRAS Additional Observations (AO) Catalog,ORACLE,y,61
iras,irasfsc,IRAS Faint Source Catalog v2.0 (FSC),ORACLE,y,62
iras,irasfscr,IRAS Faint Source Catalog Rejects,ORACLE,y,63
iras,irasgal,IRAS Cataloged Galaxies and Quasars,ORACLE,y,64
iras,iraspsc,IRAS Point Source Catalog v2.1 (PSC),ORACLE,y,65
iras,iraspsch,IRAS PSC joined with HCON and WSDB,ORACLE,n,66
iras,iraspscr,IRAS Point Source Catalog Rejects,ORACLE,y,67
iras,iraspscw,IRAS PSC joined with WSDB,ORACLE,n,68
iras,irasssc,IRAS Serendipitous Survey Catalog,ORACLE,y,69
iras,irassss,IRAS Small Scale Structure Catalog,ORACLE,y,70
iras,summary,IRAS Large Galaxies Catalog,ORACLE,y,71
msx,msxc6,The Midcourse Space Experiment (MSXC6),ORACLE,y,72
msx,msxc6_rej,The Midcourse Space Experiment (MSXC6) Rejects,ORACLE,y,73
neowiser,neowiser_p1ba_mch,NEOWISE-R Known Solar System Object Possible Association List (<a href='http://wise2.ipac.caltech.edu/docs/release/neowise/expsup/kssopal.README.html' target='doc'> Caution </a>),ORACLE,y,74
neowiser,neowiser_p1bl_lod,NEOWISE-R Single Exposure (L1b) Scan Inventory Table,ORACLE,n,75
neowiser,neowiser_p1bm_frm,NEOWISE-R Single Exposure (L1b) Image Inventory Table,ORACLE,n,76
neowiser,neowiser_p1bs_frm,NEOWISE-R Single Exposure (L1b) Frame Metadata Table,ORACLE,y,77
neowiser,neowiser_p1bs_psd,NEOWISE-R Single Exposure (L1b) Source Table,ORACLE,y,78
ntmass,ext_src_cat,2MASS Second Incremental Release Extended Source Catalog (XSC),ORACLE,y,79
ntmass,pt_src_cat,2MASS Second Incremental Release Point Source Catalog (PSC),ORACLE,y,80
ntmass,scan_dat_2,2MASS Second Incremental Release Survey Scan Info,ORACLE,y,81
planck,com_pccs1_030,Planck PCCS 30GHz Catalog,ORACLE,y,82
planck,com_pccs1_044,Planck PCCS 44GHz Catalog,ORACLE,y,83
planck,com_pccs1_070,Planck PCCS 70GHz Catalog,ORACLE,y,84
planck,com_pccs1_100,Planck PCCS 100GHz Catalog,ORACLE,y,85
planck,com_pccs1_143,Planck PCCS 143GHz Catalog,ORACLE,y,86
planck,com_pccs1_217,Planck PCCS 217GHz Catalog,ORACLE,y,87
planck,com_pccs1_353,Planck PCCS 353GHz Catalog,ORACLE,y,88
planck,com_pccs1_545,Planck PCCS 545GHz Catalog,ORACLE,y,89
planck,com_pccs1_857,Planck PCCS 857GHz Catalog,ORACLE,y,90
planck,com_pccs1_sz_mmf1,Planck Sunyaev-Zeldovich Cluster MMF1 List,ORACLE,y,91
planck,com_pccs1_sz_mmf3,Planck Sunyaev-Zeldovich Cluster MMF3 List,ORACLE,y,92
planck,com_pccs1_sz_pws,Planck Sunyaev-Zeldovich Cluster PwS List,ORACLE,y,93
planck,com_pccs1_sz_union,Planck Sunyaev-Zeldovich Cluster UNION List,ORACLE,y,94
planck,ecc,Planck Early Cold Core Source List (ECC),ORACLE,y,95
planck,ercsc_f030_e,Planck ERCSC 30GHz Catalog,ORACLE,y,96
planck,ercsc_f044_e,Planck ERCSC 44GHz Catalog,ORACLE,y,97
planck,ercsc_f070_e,Planck ERCSC 70GHz Catalog,ORACLE,y,98
planck,ercsc_f100_e,Planck ERCSC 100GHz Catalog,ORACLE,y,99
planck,ercsc_f143_e,Planck ERCSC 143GHz Catalog,ORACLE,y,100
planck,ercsc_f217_e,Planck ERCSC 217GHz Catalog,ORACLE,y,101
planck,ercsc_f353_e,Planck ERCSC 353GHz Catalog,ORACLE,y,102
planck,ercsc_f545_e,Planck ERCSC 545GHz Catalog,ORACLE,y,103
planck,ercsc_f857_e,Planck ERCSC 857GHz Catalog,ORACLE,y,104
planck,esz,Planck Early Sunyaev-Zeldovich Cluster List (ESZ),ORACLE,y,105
public,acmccat,ACMC Catalog,ORACLE,y,106
public,bolocam_gps_v1_0_1,BOLOCAM Galactic Plane Survey Catalog,ORACLE,y,107
public,bolocamdist,BOLOCAM Galactic Plane Survey Distance Catalog,ORACLE,y,108
