schema_name,table_name,description,irsa_dbms,irsa_pos,cntr
wise_allwise,wise_allwise_p3al_lod,AllWISE Atlas Inventory Table,INFORMIX,n,372
wise_allwise,wise_allwise_p3am_cdd,AllWISE Atlas Image Inventory Table,INFORMIX,n,373
wise_allwise,wise_allwise_p3am_xrf,AllWISE Frame Cross-Reference Table,INFORMIX,n,374
wise_allwise,wise_allwise_p3as_cdd,AllWISE Atlas Metadata Table,INFORMIX,y,375
wise_allwise,wise_allwise_p3as_mep,AllWISE Multiepoch Photometry Table,INFORMIX,y,376
wise_allwise,wise_allwise_p3as_psd,AllWISE Source Catalog,INFORMIX,y,377
wise_allwise,wise_allwise_p3as_psr,AllWISE Reject Table,INFORMIX,y,378
public,heritagel350,HERITAGE LMC SPIRE 350 micron Catalog,ORACLE,y,140
public,heritagel500,HERITAGE LMC SPIRE 500 micron Catalog,ORACLE,y,141
public,heritages100,HERITAGE SMC PACS 100 micron Catalog,ORACLE,y,142
public,heritages160,HERITAGE SMC PACS 160 micron Catalog,ORACLE,y,143
public,heritages250,HERITAGE SMC SPIRE 250 micron Catalog,ORACLE,y,144
public,heritages350,HERITAGE SMC SPIRE 350 micron Catalog,ORACLE,y,145
public,heritages500,HERITAGE SMC SPIRE 500 micron Catalog,ORACLE,y,146
public,hgoodsn,GOODS North Catalog,ORACLE,y,147
public,hgoodss,GOODS South Catalog,ORACLE,y,148
public,lga_v2,The 2MASS Large Galaxy Atlas,ORACLE,y,149
public,pep100,PEP PACS 100 micron Catalog,ORACLE,y,150
public,pep160,PEP PACS 160 micron Catalog,ORACLE,y,151
public,pep250,PEP SPIRE 250 micron Catalog,ORACLE,y,152
public,pep350,PEP SPIRE 350 micron Catalog,ORACLE,y,153
public,pep500,PEP SPIRE 500 micron Catalog,ORACLE,y,154
public,peplh24,PEP Lockman Hole MIPS 24 micron Comparison Catalog,ORACLE,y,155
public,pepprior,PEP PACS Extractions Using MIPS 24 micron Priors Catalog,ORACLE,y,156
public,pepxid,PEP PACS and MIPS Cross-IDs Catalog,ORACLE,y,157
public,sass_v3,SASS October 2011 Catalog,ORACLE,y,158
public,sdwfs_ch1_epoch1,"SDWFS Aug '09 DR1.1 IRAC 3.6um-Selected 3x30sec Coadd, epoch 1 (Jan '04)",ORACLE,y,159
public,sdwfs_ch1_epoch2,"SDWFS Aug '09 DR1.1 IRAC 3.6um-Selected 3x30sec Coadd, epoch 2 (Aug '07)",ORACLE,y,160
public,sdwfs_ch1_epoch3,"SDWFS Aug '09 DR1.1 IRAC 3.6um-Selected 3x30sec Coadd, epoch 3 (Feb '08)",ORACLE,y,161
public,sdwfs_ch1_epoch4,"SDWFS Aug '09 DR1.1 IRAC 3.6um-Selected 3x30sec Coadd, epoch 4 (Mar '08)",ORACLE,y,162
public,sdwfs_ch1_stack,SDWFS Aug'09 DR1.1 IRAC 3.6um-Selected Total Coadd Stack,ORACLE,y,163
public,sdwfs_ch2_epoch1,"SDWFS Aug '09 DR1.1 IRAC 4.5um-Selected 3x30sec Coadd, epoch 1 (Jan '04)",ORACLE,y,164
public,sdwfs_ch2_epoch2,"SDWFS Aug '09 DR1.1 IRAC 4.5um-Selected 3x30sec Coadd, epoch 2 (Aug '07)",ORACLE,y,165
public,sdwfs_ch2_epoch3,"SDWFS Aug '09 DR1.1 IRAC 4.5um-Selected 3x30sec Coadd, epoch 3 (Feb '08)",ORACLE,y,166
public,sdwfs_ch2_epoch4,"SDWFS Aug '09 DR1.1 IRAC 4.5um-Selected 3x30sec Coadd, epoch 4 (Mar '08)",ORACLE,y,167
public,sdwfs_ch2_stack,SDWFS Aug '09 DR1.1 IRAC 4.5um-Selected Total Coadd Stack,ORACLE,y,168
public,sdwfs_ch3_epoch1,"SDWFS Aug '09 DR1.1 IRAC 5.8um-Selected 3x30sec Coadd, epoch 1 (Jan '04)",ORACLE,y,169
public,sdwfs_ch3_epoch2,"SDWFS Aug '09 DR1.1 IRAC 5.8um-Selected 3x30sec Coadd, epoch 2 (Aug '07)",ORACLE,y,170
public,sdwfs_ch3_epoch3,"SDWFS Aug '09 DR1.1 IRAC 5.8um-Selected 3x30sec Coadd, epoch 3 (Feb '08)",ORACLE,y,171
public,sdwfs_ch3_epoch4,"SDWFS Aug '09 DR1.1 IRAC 5.8um-Selected 3x30sec Coadd, epoch 4 (Mar '08)",ORACLE,y,172
public,sdwfs_ch3_stack,SDWFS Aug '09 DR1.1 IRAC 5.8um-Selected Total Coadd Stack,ORACLE,y,173
public,sdwfs_ch4_epoch1,"SDWFS Aug '09 DR1.1 IRAC 8.0um-Selected 3x30sec Coadd, epoch 1 (Jan '04)",ORACLE,y,174
public,sdwfs_ch4_epoch2,"SDWFS Aug '09 DR1.1 IRAC 8.0um-Selected 3x30sec Coadd, epoch 2 (Aug '07)",ORACLE,y,175
public,sdwfs_ch4_epoch3,"SDWFS Aug '09 DR1.1 IRAC 8.0um-Selected 3x30sec Coadd, epoch 3 (Feb '08)",ORACLE,y,176
public,sdwfs_ch4_epoch4,"SDWFS Aug '09 DR1.1 IRAC 8.0um-Selected 3x30sec Coadd, epoch 4 (Mar '08)",ORACLE,y,177
public,sdwfs_ch4_stack,SDWFS Aug '09 DR1.1 IRAC 8.0um-Selected Total Coadd Stack,ORACLE,y,178
public,simple,SIMPLE Photometry Catalog,ORACLE,y,179
public,swire_lhisod,SWIRE Lockman Hole ISOCAM Deep Field Catalog,ORACLE,y,180
public,swire_lhisos,SWIRE Lockman Hole ISOCAM Shallow Field Catalog,ORACLE,y,181
public,xfls_i1m,Extragalactic FLS IRAC Channel 1 Main Field Catalog,ORACLE,y,182
public,xfls_i1v,Extragalactic FLS IRAC Channel 1 Verification Field Catalog,ORACLE,y,183
public,xfls_i2m,Extragalactic FLS IRAC Channel 2 Main Field Catalog,ORACLE,y,184
public,xfls_i2v,Extragalactic FLS IRAC Channel 2 Verification Field Catalog,ORACLE,y,185
public,xfls_i3m,Extragalactic FLS IRAC Channel 3 Main Field Catalog,ORACLE,y,186
public,xfls_i3v,Extragalactic FLS IRAC Channel 3 Verification Field Catalog,ORACLE,y,187
public,xfls_i4m,Extragalactic FLS IRAC Channel 4 Main Field Catalog,ORACLE,y,188
public,xfls_i4v,Extragalactic FLS IRAC Channel 4 Verification Field Catalog,ORACLE,y,189
public,xfls_iallm,Extragalactic FLS IRAC Bandmerged Main Field Catalog,ORACLE,y,190
public,xfls_iallv,Extragalactic FLS IRAC Bandmerged Verification Field Catalog,ORACLE,y,191
public,xfls_kpno,Extragalactic FLS KPNO R-band Source List,ORACLE,y,192
public,xfls_m1t2,Extragalactic FLS MIPS 24 micron Extended Source Catalog,ORACLE,y,193
public,xfls_m1t4,Extragalactic FLS MIPS 24 micron Calibration Star Catalog,ORACLE,y,194
public,xfls_m1t5,Extragalactic FLS MIPS 24 micron Point Source Catalog,ORACLE,y,195
public,xfls_m2,Extragalactic FLS MIPS 70 micron Catalog,ORACLE,y,196
public,xfls_m3,Extragalactic FLS MIPS 160 micron Catalog,ORACLE,y,197
public,xfls_w2,Extragalactic FLS WIYN/Hydra Spectroscopic Catalog,ORACLE,y,198
public,xfls_w3,Extragalactic FLS WIYN/Hydra Line Strength and Equivalent Width Catalog,ORACLE,y,199
public,xfls_w4,Extragalactic FLS WIYN/Hydra Line Ratios and Extinction Catalog,ORACLE,y,200
scal,coadd_dat_sc,2MASS LMC/SMC Calibration Atlas Image Info,ORACLE,y,201
scal,ext_src_sc,2MASS LMC/SMC Calibration Extended Source Working Database,ORACLE,y,202
scal,pscan_dat_sc,2MASS LMC/SMC Calibration Scan Info,ORACLE,y,203
scal,pt_src_sc,2MASS LMC/SMC Calibration Point Source Working Database,ORACLE,y,204
seip,slicovv2,SEIP IRAC Coverage Table,ORACLE,y,205
seip,slmcovv2,SEIP MIPS Coverage Table,ORACLE,y,206
seip,slphotdr4,SEIP Source List,ORACLE,y,207
seip,sltracev2,SEIP Traceback Table,ORACLE,y,208
sixx2,coadd_dat_6x2,2MASS 6X w/LMC/SMC Atlas Image Info,ORACLE,y,209
sixx2,ext_src_6x2,2MASS 6X w/LMC/SMC Extended Source Working Database / Catalog (<a href='/applications/Gator/GatorAid/2MASS/6xcat.README.html' target='doc'> Read Me! </a>),ORACLE,y,210
sixx2,pscan_dat_6x2,2MASS 6X w/LMC/SMC Scan Info,ORACLE,y,211
sixx2,pt_src_6x2,2MASS 6X w/LMC/SMC Point Source Working Database /Catalog (<a href='/applications/Gator/GatorAid/2MASS/6xcat.README.html' target='doc'> Read Me! </a>),ORACLE,y,212
spitzer,a1763t2,Abell 1763 Source Catalog,ORACLE,y,213
spitzer,a1763t3,Abell 1763 MIPS 70 micron Catalog,ORACLE,y,214
spitzer,clash36_v2,CLASH 3.6 micron Catalog,ORACLE,y,215
spitzer,clash45_v2,CLASH 4.5 micron Catalog,ORACLE,y,216
spitzer,clash58_v2,CLASH 5.8 micron Catalog,ORACLE,y,217
spitzer,clash80_v2,CLASH 80 micron Catalog,ORACLE,y,218
spitzer,csi2264t1,CSI 2264 Object Table,ORACLE,y,219
spitzer,csi2264t2,CSI 2264 CoRoT Light Curves,ORACLE,y,220
spitzer,csi2264t3,CSI 2264 Spitzer Light Curves,ORACLE,y,221
spitzer,goods_mips24,GOODS-S MIPS 24 micron Photometry Catalog,ORACLE,y,222
spitzer,goodsn_mips24,GOODS-N MIPS 24 micron Photometry Catalog,ORACLE,y,223
spitzer,irs_enhv211,IRS Enhanced Products,ORACLE,y,224
spitzer,mipsgala,MIPSGAL Archive,ORACLE,y,225
spitzer,mipsgalc,MIPSGAL Catalog,ORACLE,y,226
spitzer,mipslg,MIPS Local Galaxies Catalog,ORACLE,y,227
spitzer,s4gcat,Spitzer Survey of Stellar Structure in Galaxies (S4G),ORACLE,y,228
spitzer,sage_ar_irac,"SAGE IRAC Single Frame + Mosaic Photometry Archive (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,229
spitzer,sage_ar_irac_e1e2,"SAGE IRAC Epoch 1 and Epoch 2 Archive (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,230
spitzer,sage_ar_irac_match,"SAGE IRAC Matched Epoch Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,231
spitzer,sage_ar_irac_off,"SAGE IRAC Offset Position Epoch 1 and Epoch 2 Archive (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,232
spitzer,sage_cat_irac,SAGE IRAC Single Frame + Mosaic Photometry Catalog  (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,233
spitzer,sage_cat_irac_e1e2,SAGE IRAC Epoch 1 and Epoch 2 Catalog  (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,234
spitzer,sage_cat_irac_match,SAGE IRAC Matched Epoch Archive (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,235
spitzer,sage_cat_irac_off,SAGE IRAC Offset Position Epoch 1 and Epoch 2 Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,236
spitzer,sage_cat_m160,SAGE MIPS 160 um Combined Epoch Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,237
spitzer,sage_cat_m24,SAGE MIPS 24 um Epoch 1 and Epoch 2 Catalog  (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,238
spitzer,sage_cat_m24_match,SAGE MIPS 24 um Matched Epoch Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,239
spitzer,sage_cat_m70,SAGE MIPS 70 um Combined Epoch Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,240
spitzer,sage_full_m160,"SAGE MIPS 160 um Combined Epoch Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,241
spitzer,sage_full_m24,"SAGE MIPS 24 um Epoch 1 and Epoch 2 Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,242
spitzer,sage_full_m24_match,"SAGE MIPS 24 um Matched Epoch Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,243
spitzer,sage_full_m70,"SAGE MIPS 70 um Combined Epoch Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,244
spitzer,sagearciracv2,"SAGE Winter '08 IRAC Epoch 1 and Epoch 2 Archive (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,245
spitzer,sagecatiracv2,SAGE Winter '08 IRAC Epoch 1 and Epoch 2 Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,246
spitzer,sagecatmips24v2,SAGE Winter '08 MIPS 24 um Epoch 1 and Epoch 2 Catalog  (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,247
spitzer,sagesmc_iraca,"SAGE-SMC IRAC Epoch 0, Epoch 1, and Epoch 2 Archive (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_IRAC_colDescriptions.html' target='doc'>less reliable</a>)",ORACLE,y,248
spitzer,sagesmc_iracadr3,SAGE-SMC IRAC Single Frame + Mosaic Photometry Archive v1.5,ORACLE,y,249
spitzer,sagesmc_iracc,"SAGE-SMC IRAC Epoch 0, Epoch 1, and Epoch 2 Catalog (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_IRAC_colDescriptions.html#reliable' target='doc'>more reliable</a>)",ORACLE,y,250
spitzer,sagesmc_iraccdr3,SAGE-SMC IRAC Single Frame + Mosaic Photometry Catalog v1.5,ORACLE,y,251
spitzer,sagesmc_iracep1a,SAGE-SMC IRAC Epoch 1 Archive  (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_IRAC_colDescriptions.html' target='doc'>less reliable</a>),ORACLE,y,252
spitzer,sagesmc_iracep1c,SAGE-SMC IRAC Epoch 1 Catalog (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_IRAC_colDescriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,253
spitzer,sagesmc_mips160c,SAGE-SMC MIPS 160um Combined Epoch Catalog (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_MIPS_colDescriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,254
spitzer,sagesmc_mips160f,"SAGE-SMC MIPS 160um Combined Epoch Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,255
spitzer,sagesmc_mips24c,"SAGE-SMC MIPS 24 um Epoch 0, Epoch 1, and Epoch 2 Catalog  (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_MIPS_colDescriptions.html#reliable' target='doc'>more reliable</a>)",ORACLE,y,256
spitzer,sagesmc_mips24ep1c,SAGE-SMC MIPS 24um Epoch 1 Catalog (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_MIPS_colDescriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,257
spitzer,sagesmc_mips24ep1f,SAGE-SMC MIPS 24um Epoch 1 Full List (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_MIPS_colDescriptions.html' target='doc'>less  reliable</a>),ORACLE,y,258
spitzer,sagesmc_mips24f,"SAGE-SMC MIPS 24 um Epoch 0, Epoch 1, and Epoch 2 Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,259
spitzer,sagesmc_mips70c,SAGE-SMC MIPS 70um Combined Epoch Catalog (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_MIPS_colDescriptions.html#reliable' target='doc'>more reliable</a>),ORACLE,y,260
wise_prelim,wise_prelim_p3as_psd,WISE Preliminary Release Source Catalog (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>),INFORMIX,y,393
